"round_code","show_num","contestant","score","finish","bucket","season","air_date","clue_count","air_year","bucket_name"
"FJ",8313,"Lucy",31399,"Winner",30000,37,"1/13/2021",61,"2021","$ 30"
"FJ",8312,"Lucy",33100,"Winner",30000,37,"1/12/2021",61,"2021","$ 30"
"FJ",8311,"Tanay",26800,"Winner",20000,37,"1/11/2021",61,"2021","$ 20"
"FJ",8310,"Jim",24401,"Winner",20000,37,"1/8/2021",59,"2021","$ 20"
"FJ",8309,"Yoshie",24800,"Winner",20000,37,"1/7/2021",61,"2021","$ 20"
"FJ",8308,"Yoshie",6800,"Winner",0,37,"1/6/2021",57,"2021","$ 0"
"FJ",8307,"Manisha",7100,"Winner",0,37,"1/5/2021",55,"2021","$ 0"
"FJ",8306,"Brayden",17999,"Winner",10000,37,"1/4/2021",56,"2021","$ 10"
"FJ",8305,"Brayden",3999,"Winner",0,37,"12/18/2020",61,"2020","$ 0"
"FJ",8304,"Brayden",27800,"Winner",20000,37,"12/17/2020",61,"2020","$ 20"
"FJ",8303,"Brayden",35000,"Winner",30000,37,"12/16/2020",58,"2020","$ 30"
"FJ",8302,"Brayden",31000,"Winner",30000,37,"12/15/2020",57,"2020","$ 30"
"FJ",8301,"Valerie",38001,"Winner",30000,37,"12/14/2020",58,"2020","$ 30"
"FJ",8300,"Kate",5599,"Winner",0,37,"12/11/2020",61,"2020","$ 0"
"FJ",8299,"Kendra",14200,"Winner",10000,37,"12/10/2020",61,"2020","$ 10"
"FJ",8298,"Kendra",26401,"Winner",20000,37,"12/9/2020",61,"2020","$ 20"
"FJ",8297,"Kristen",22801,"Winner",20000,37,"12/8/2020",61,"2020","$ 20"
"FJ",8296,"John",11199,"Winner",10000,37,"12/7/2020",61,"2020","$ 10"
"FJ",8295,"Katherine",22801,"Winner",20000,37,"12/4/2020",61,"2020","$ 20"
"FJ",8294,"Fred",20001,"Winner",20000,37,"12/3/2020",61,"2020","$ 20"
"FJ",8293,"Leslie",2700,"Winner",0,37,"12/2/2020",61,"2020","$ 0"
"FJ",8292,"T.J.!",18200,"Winner",10000,37,"12/1/2020",61,"2020","$ 10"
